Атрибут,Герой,Damage,Cпособности
Ловкость,NagaSiren,42,"Bloodrage, Blood Bath, Thirst"
Ловкость,NyxAssassin,40,"Empower, Skewer, Reverse Polarity"
Ловкость,Pangolier,52,"Tombstone, Flesh Golem, Shockwave"
Ловкость,PhantomAssassin,30,"Phantasm, Decay, Soul Rip"
Ловкость,PhantomLancer,45,"Chaos Bolt, Reality Rift, Chaos Strike"
Ловкость,Razor,36,"Howl, Feral Impulse, Shapeshift"
Ловкость,Riki,30,"Greater Bash, Nether Strike, Summon Wolves"
Ловкость,ShadowFiend,54,"Doom, Charge of Darkness, Empowering Haste"
Ловкость,Slark,67,"Devour, Scorched Earth, LVL? Death"
Ловкость,Sniper,36,"Crippling Fear, Hunter in the Night, Darkness"
Ловкость,Spectre,67,"Open Wounds, Infest, Void"
Ловкость,TemplarAssassin,55,"Reincarnation, Rage, Feast"
Ловкость,Terrorblade,50,"Wraithfire Blast, Vampiric Aura, Mortal Strike"
Ловкость,TrollWarlord,39,"Kraken Shell, Anchor Smash, Ravage"
Ловкость,Ursa,48,"Bash, Amplify Damage, Gush"
Ловкость,VengefulSpirit,68,"Epicenter, Sprint, Slithereen Crush"
Ловкость,Venomancer,45,"Burrowstrike, Sand Storm, Caustic Finale"
Ловкость,Viper,49,"Rot, Flesh Heap, Dismember"
Ловкость,Weaver,53,"Counter Helix, Culling Blade, Meat Hook"
Интеллект,AncientApparition,31,"Spirit Form, Berserker's Call, Battle Hunger"
Интеллект,Bane,32,"Chakra Magic, Recall, Blinding Light"
Интеллект,Batrider,40,"Static Storm, Illuminate, Mana Leak"
Интеллект,Chen,30,"Thunder Strike, Glimpse, Kinetic Field"
Интеллект,CrystalMaiden,39,"Telekinesis, Null Field, Spell Steal"
Интеллект,DarkSeer,61,"Bloodlust, Unrefined Fireblast, Multicast"
Интеллект,DarkWillow,42,"Global Silence, Fireblast, Ignite"
Интеллект,Dazzle,62,"Curse of the Silent, Glaives of Wisdom, Last Word"
Интеллект,DeathProphet,58,"Penitence, Test of Faith, Hand of God"
Интеллект,Disruptor,50,"Ice Path, Liquid Fire, Macropyre"
Интеллект,Enchantress,54,"Nature's Attendants, Impetus, Dual Breath"
Интеллект,Enigma,35,"Wrath of Nature, Untouchable, Enchant"
Интеллект,Grimstroke,59,"Sprout, Teleportation, Nature's Call"
Интеллект,Invoker,69,"Heat-Seeking Missile, March of the Machines, Rearm"
Интеллект,Jakiro,55,"Shackles, Mass Serpent Ward, Laser"
Интеллект,KeeperoftheLight,67,"Thundergod's Wrath, Ether Shock, Hex"
Интеллект,Leshrac,49,"Arc Lightning, Lightning Bolt, Static Field"
Интеллект,Lich,39,"Electric Vortex, Overload, Ball Lightning"
Интеллект,Lina,41,"Waning Rift, Phase Shift, Static Remnant"
Интеллект,Lion,65,"Arcane Aura, Freezing Field, Illusory Orb"
Интеллект,Nature'sProphet,63,"True Form, Crystal Nova, Frostbite"
Интеллект,Necrophos,52,"Rabid, Synergy, Battle Cry"
Интеллект,OgreMagi,39,"Flak Cannon, Call Down, Summon Spirit Bear"
Интеллект,Oracle,59,"Enrage, Rocket Barrage, Homing Missile"
Интеллект,OutworldDestroyer,67,"Earthshock, Overpower, Fury Swipes"
Интеллект,Puck,65,"Jinada, Shadow Walk, Track"
Интеллект,Pugna,50,"Lunar Blessing, Eclipse, Shuriken Toss"
Интеллект,QueenofPain,55,"Psi Blades, Lucent Beam, Moon Glaive"
Интеллект,Rubick,50,"Assassinate, Refraction, Meld"
Интеллект,ShadowDemon,39,"Shrapnel, Headshot, Take Aim"
Интеллект,ShadowShaman,40,"Blink Strike, Backstab, Permanent Invisibility"
Интеллект,Silencer,59,"Juxtapose, Phantom Edge, Smoke Screen"
Интеллект,SkywrathMage,34,"Replicate, Spirit Lance, Doppelwalk"
Интеллект,StormSpirit,67,"Adaptive Strike, Morph (Agility Gain), Morph (Strength Gain)"
Интеллект,Techies,34,"Leap, Moonlight Shadow, Waveform"
Интеллект,Tinker,66,"Omnislash, Starstorm, Sacred Arrow"
Интеллект,Visage,46,"Blade Fury, Healing Ward, Blade Dance"
Интеллект,VoidSpirit,52,"Gust, Precision Aura, Marksmanship"
Интеллект,Warlock,66,"Spell Shield, Mana Void, Frost Arrows"
Интеллект,Windranger,49,"Toggle Movement, Mana Break, Blink"
Интеллект,WinterWyvern,36,"Launch Fire Spirit, Stop Icarus Dive, Stop Sun Ray"
Интеллект,WitchDoctor,66,"Rolling Boulder, Geomagnetic Grip, Supernova"
Интеллект,Zeus,42,"Moment of Courage, Duel, Boulder Smash"
